时间 (time),前兆信号概率
2023-02-05 00:00:54,0.03
2023-02-05 00:02:44,0.03
2023-02-05 00:04:34,0.03
2023-02-05 00:06:23,0.04
2023-02-05 00:08:13,0.03
2023-02-05 00:10:03,0.06
2023-02-05 00:11:53,0.03
2023-02-05 00:13:43,0.04
2023-02-05 00:15:32,0.04
2023-02-05 00:17:23,0.04
2023-02-05 00:19:12,0.08
2023-02-05 00:21:02,0.06
2023-02-05 00:22:52,0.07
2023-02-05 00:24:43,0.05
2023-02-05 00:26:32,0.06
2023-02-05 00:28:21,0.07
2023-02-05 00:30:12,0.04
2023-02-05 00:32:01,0.03
2023-02-05 00:33:52,0.04
2023-02-05 00:35:41,0.04
2023-02-05 00:37:30,0.04
2023-02-05 00:39:20,0.05
2023-02-05 00:41:11,0.03
2023-02-05 00:43:00,0.05
2023-02-05 00:44:50,0.02
2023-02-05 00:46:40,0.07
2023-02-05 00:48:29,0.06
2023-02-05 00:50:19,0.05
2023-02-05 00:52:09,0.03
2023-02-05 00:53:59,0.06
2023-02-05 00:55:49,0.05
2023-02-05 00:57:39,0.05
2023-02-05 00:59:29,0.05
2023-02-05 01:01:18,0.06
2023-02-05 01:03:08,0.05
2023-02-05 01:04:59,0.05
2023-02-05 01:06:48,0.05
2023-02-05 01:08:38,0.04
2023-02-05 01:10:28,0.03
2023-02-05 01:12:17,0.06
2023-02-05 01:14:07,0.05
2023-02-05 01:15:57,0.04
2023-02-05 01:17:47,0.03
2023-02-05 01:19:38,0.03
2023-02-05 01:21:26,0.02
2023-02-05 01:23:17,0.03
2023-02-05 01:25:07,0.05
2023-02-05 01:26:56,0.04
2023-02-05 01:28:46,0.05
2023-02-05 01:30:35,0.04
2023-02-05 01:32:25,0.03
2023-02-05 01:34:15,0.01
2023-02-05 01:36:05,0.01
2023-02-05 01:37:56,0.01
2023-02-05 01:39:45,0.08
2023-02-05 01:41:34,0.1
2023-02-05 01:43:24,0.05
2023-02-05 01:45:14,0.02
2023-02-05 01:47:04,0.02
2023-02-05 01:48:55,0.04
2023-02-05 01:50:43,0.03
2023-02-05 01:52:33,0.05
2023-02-05 01:54:23,0.04
2023-02-05 01:56:13,0.04
2023-02-05 01:58:03,0.04
2023-02-05 01:59:53,0.06
2023-02-05 02:01:42,0.05
2023-02-05 02:03:32,0.05
2023-02-05 02:05:23,0.04
2023-02-05 02:07:12,0.02
2023-02-05 02:09:01,0.03
2023-02-05 02:10:52,0.03
2023-02-05 02:12:42,0.03
2023-02-05 02:14:32,0.02
2023-02-05 02:16:20,0.03
2023-02-05 02:18:10,0.03
2023-02-05 02:20:01,0.03
2023-02-05 02:21:51,0.05
2023-02-05 02:23:39,0.04
2023-02-05 02:25:29,0.07
2023-02-05 02:27:19,0.02
2023-02-05 02:29:09,0.02
2023-02-05 02:30:59,0.01
2023-02-05 02:32:49,0.03
2023-02-05 02:34:40,0.09
2023-02-05 02:36:29,0.02
2023-02-05 02:38:18,0.01
2023-02-05 02:40:08,0.01
2023-02-05 02:41:58,0.12
2023-02-05 02:43:48,0.02
2023-02-05 02:45:39,0.02
2023-02-05 02:47:27,0.02
2023-02-05 02:49:17,0.09
2023-02-05 02:51:07,0.02
2023-02-05 02:52:57,0.02
2023-02-05 02:54:47,0.05
2023-02-05 02:56:36,0.06
2023-02-05 02:58:26,0.02
2023-02-05 03:00:16,0.02
2023-02-05 03:02:06,0.03
2023-02-05 03:03:55,0.05
2023-02-05 03:05:45,0.02
2023-02-05 03:07:37,0.03
2023-02-05 03:09:26,0.03
2023-02-05 03:11:14,0.05
2023-02-05 03:13:04,0.03
2023-02-05 03:14:54,0.06
2023-02-05 03:16:44,0.04
2023-02-05 03:18:34,0.06
2023-02-05 03:20:24,0.03
2023-02-05 03:22:14,0.03
2023-02-05 03:24:04,0.03
2023-02-05 03:25:53,0.04
2023-02-05 03:27:43,0.05
2023-02-05 03:29:33,0.02
2023-02-05 03:31:23,0.02
2023-02-05 03:33:14,0.05
2023-02-05 03:35:02,0.06
2023-02-05 03:36:52,0.04
2023-02-05 03:38:43,0.06
2023-02-05 03:40:32,0.06
2023-02-05 03:42:21,0.06
2023-02-05 03:44:11,0.06
2023-02-05 03:46:01,0.03
2023-02-05 03:47:51,0.02
2023-02-05 03:49:40,0.03
2023-02-05 03:51:30,0.05
2023-02-05 03:53:20,0.03
2023-02-05 03:55:10,0.03
2023-02-05 03:57:02,0.04
2023-02-05 03:58:50,0.03
2023-02-05 04:00:40,0.03
2023-02-05 04:02:30,0.02
2023-02-05 04:04:19,0.03
2023-02-05 04:06:09,0.04
2023-02-05 04:07:59,0.06
2023-02-05 04:09:49,0.05
2023-02-05 04:11:40,0.03
2023-02-05 04:13:29,0.03
2023-02-05 04:15:19,0.06
2023-02-05 04:17:08,0.04
2023-02-05 04:18:59,0.07
2023-02-05 04:20:48,0.03
2023-02-05 04:22:38,0.02
2023-02-05 04:24:28,0.06
2023-02-05 04:26:18,0.05
2023-02-05 04:28:07,0.03
2023-02-05 04:29:58,0.04
2023-02-05 04:31:47,0.03
2023-02-05 04:33:37,0.03
2023-02-05 04:35:28,0.07
2023-02-05 04:37:16,0.03
2023-02-05 04:39:07,0.05
2023-02-05 04:40:56,0.05
2023-02-05 04:42:46,0.02
2023-02-05 04:44:37,0.03
2023-02-05 04:46:25,0.05
2023-02-05 04:48:16,0.05
2023-02-05 04:50:05,0.05
2023-02-05 04:51:54,0.02
2023-02-05 04:53:45,0.03
2023-02-05 04:55:34,0.03
2023-02-05 04:57:24,0.03
2023-02-05 04:59:14,0.03
2023-02-05 05:01:04,0.06
2023-02-05 05:02:54,0.04
2023-02-05 05:04:43,0.08
2023-02-05 05:06:33,0.03
2023-02-05 05:08:23,0.04
2023-02-05 05:10:13,0.04
2023-02-05 05:12:02,0.03
2023-02-05 05:13:52,0.02
2023-02-05 05:15:43,0.03
2023-02-05 05:17:32,0.03
2023-02-05 05:19:22,0.04
2023-02-05 05:21:12,0.03
2023-02-05 05:23:01,0.03
2023-02-05 05:24:51,0.06
2023-02-05 05:26:41,0.04
2023-02-05 05:28:30,0.08
2023-02-05 05:30:20,0.03
2023-02-05 05:32:11,0.03
2023-02-05 05:34:02,0.03
2023-02-05 05:35:50,0.03
2023-02-05 05:37:40,0.01
2023-02-05 05:39:30,0.05
2023-02-05 05:41:20,0.05
2023-02-05 05:43:09,0.03
2023-02-05 05:45:00,0.03
2023-02-05 05:46:51,0.04
2023-02-05 05:48:40,0.05
2023-02-05 05:50:29,0.04
2023-02-05 05:52:20,0.03
2023-02-05 05:54:09,0.02
2023-02-05 05:56:00,0.02
2023-02-05 05:57:49,0.08
2023-02-05 05:59:38,0.06
2023-02-05 06:01:28,0.05
2023-02-05 06:03:19,0.03
2023-02-05 06:05:08,0.04
2023-02-05 06:06:57,0.02
2023-02-05 06:08:47,0.04
2023-02-05 06:10:37,0.02
2023-02-05 06:12:27,0.07
2023-02-05 06:14:16,0.05
2023-02-05 06:16:07,0.07
2023-02-05 06:17:56,0.02
2023-02-05 06:19:47,0.03
2023-02-05 06:21:36,0.04
2023-02-05 06:23:26,0.03
2023-02-05 06:25:16,0.02
2023-02-05 06:27:05,0.05
2023-02-05 06:28:55,0.05
2023-02-05 06:30:45,0.05
2023-02-05 06:32:36,0.02
2023-02-05 06:34:25,0.03
2023-02-05 06:36:15,0.04
2023-02-05 06:38:04,0.03
2023-02-05 06:39:54,0.03
2023-02-05 06:41:44,0.03
2023-02-05 06:43:34,0.03
2023-02-05 06:45:23,0.03
2023-02-05 06:47:14,0.02
2023-02-05 06:49:03,0.02
2023-02-05 06:50:53,0.02
2023-02-05 06:52:43,0.06
2023-02-05 06:54:34,0.03
2023-02-05 06:56:23,0.03
2023-02-05 06:58:12,0.06
2023-02-05 07:00:02,0.05
2023-02-05 07:01:52,0.02
2023-02-05 07:03:42,0.04
2023-02-05 07:05:32,0.05
2023-02-05 07:07:21,0.05
2023-02-05 07:09:11,0.04
2023-02-05 07:11:02,0.06
2023-02-05 07:12:51,0.04
2023-02-05 07:14:43,0.02
2023-02-05 07:16:30,0.03
2023-02-05 07:18:20,0.03
2023-02-05 07:20:12,0.03
2023-02-05 07:22:00,0.05
2023-02-05 07:23:50,0.04
2023-02-05 07:25:41,0.02
2023-02-05 07:27:29,0.02
2023-02-05 07:29:19,0.03
2023-02-05 07:31:09,0.06
2023-02-05 07:32:59,0.03
2023-02-05 07:34:49,0.02
2023-02-05 07:36:38,0.02
2023-02-05 07:38:28,0.03
2023-02-05 07:40:19,0.02
2023-02-05 07:42:08,0.02
2023-02-05 07:43:58,0.06
2023-02-05 07:45:49,0.06
2023-02-05 07:47:37,0.04
2023-02-05 07:49:27,0.05
2023-02-05 07:51:17,0.06
2023-02-05 07:53:07,0.02
2023-02-05 07:54:57,0.02
2023-02-05 07:56:47,0.05
2023-02-05 07:58:36,0.05
2023-02-05 08:00:26,0.06
2023-02-05 08:02:16,0.04
2023-02-05 08:04:07,0.05
2023-02-05 08:05:56,0.06
2023-02-05 08:07:46,0.03
2023-02-05 08:09:35,0.03
2023-02-05 08:11:25,0.03
2023-02-05 08:13:15,0.06
2023-02-05 08:15:04,0.04
2023-02-05 08:16:54,0.07
2023-02-05 08:18:45,0.07
2023-02-05 08:20:34,0.06
2023-02-05 08:22:24,0.07
2023-02-05 08:24:15,0.04
2023-02-05 08:26:04,0.07
2023-02-05 08:27:53,0.05
2023-02-05 08:29:43,0.07
2023-02-05 08:31:34,0.04
2023-02-05 08:33:24,0.04
2023-02-05 08:35:14,0.06
2023-02-05 08:37:03,0.05
2023-02-05 08:38:52,0.04
2023-02-05 08:40:43,0.03
2023-02-05 08:42:32,0.03
2023-02-05 08:44:23,0.01
2023-02-05 08:46:12,0.02
2023-02-05 08:48:01,0.06
2023-02-05 08:49:51,0.06
2023-02-05 08:51:41,0.05
2023-02-05 08:53:32,0.06
2023-02-05 08:55:22,0.07
2023-02-05 08:57:11,0.07
2023-02-05 08:59:00,0.06
2023-02-05 09:00:50,0.04
2023-02-05 09:02:40,0.04
2023-02-05 09:04:30,0.06
2023-02-05 09:06:20,0.06
2023-02-05 09:08:11,0.08
2023-02-05 09:09:59,0.06
2023-02-05 09:11:49,0.06
2023-02-05 09:13:39,0.06
2023-02-05 09:15:29,0.06
2023-02-05 09:17:18,0.06
2023-02-05 09:19:08,0.03
2023-02-05 09:21:07,0.03
2023-02-05 09:22:48,0.03
2023-02-05 09:24:38,0.04
2023-02-05 09:26:30,0.05
2023-02-05 09:28:18,0.03
2023-02-05 09:30:10,0.05
2023-02-05 09:31:57,0.04
2023-02-05 09:33:48,0.05
2023-02-05 09:35:38,0.04
2023-02-05 09:37:27,0.03
2023-02-05 09:39:17,0.06
2023-02-05 09:41:07,0.06
2023-02-05 09:42:57,0.06
