Start Time,End Time
2022-04-02 11:10:54,2022-04-02 11:10:54
2022-04-02 11:27:20,2022-04-02 11:27:20
2022-04-02 11:38:19,2022-04-02 11:40:08
2022-04-02 13:39:01,2022-04-02 13:40:50
2022-04-02 13:46:21,2022-04-02 13:48:09
2022-04-02 14:10:07,2022-04-02 14:11:57
2022-04-02 14:19:15,2022-04-02 14:21:06
2022-04-02 14:22:54,2022-04-02 14:22:54
2022-04-02 14:28:23,2022-04-02 14:30:13
2022-04-02 14:35:42,2022-04-02 14:35:42
2022-04-02 14:46:41,2022-04-02 14:46:41
2022-04-02 15:19:35,2022-04-02 15:19:35
2022-04-02 15:39:43,2022-04-02 15:39:43
2022-04-02 15:45:12,2022-04-02 15:45:12
2022-04-02 15:47:04,2022-04-02 15:47:04
2022-04-02 15:48:51,2022-04-02 15:48:51
2022-04-02 15:54:20,2022-04-02 15:54:20
2022-04-02 15:56:10,2022-04-02 15:59:50
2022-04-02 16:05:19,2022-04-02 16:07:09
2022-04-02 16:27:15,2022-04-02 16:27:15
2022-04-02 16:41:53,2022-04-02 16:41:53
2022-04-02 16:52:52,2022-04-02 16:52:52
2022-04-02 17:00:11,2022-04-02 17:00:11
2022-04-02 17:42:16,2022-04-02 17:42:16
2022-04-02 17:45:56,2022-04-02 17:51:25
2022-04-02 17:53:15,2022-04-02 17:55:06
2022-04-02 17:56:54,2022-04-02 17:56:54
2022-04-02 17:58:44,2022-04-02 18:02:25
2022-04-02 18:04:14,2022-04-02 18:06:03
2022-04-02 18:07:53,2022-04-02 18:13:22
2022-04-02 18:17:01,2022-04-02 18:17:01
2022-04-02 18:18:51,2022-04-02 18:18:51
2022-04-02 18:29:50,2022-04-02 18:31:40
2022-04-02 18:37:09,2022-04-02 18:38:58
2022-04-02 18:40:48,2022-04-02 18:42:38
2022-04-02 18:46:17,2022-04-02 18:46:17
2022-04-02 18:49:58,2022-04-02 18:49:58
2022-04-02 18:51:46,2022-04-02 18:53:36
2022-04-02 18:55:26,2022-04-02 18:57:16
2022-04-02 19:00:56,2022-04-02 19:02:46
2022-04-02 19:04:35,2022-04-02 19:04:35
2022-04-02 19:06:26,2022-04-02 19:08:14
2022-04-02 19:10:04,2022-04-02 19:11:55
2022-04-02 19:15:33,2022-04-02 19:17:23
2022-04-02 19:19:13,2022-04-02 19:26:31
2022-04-02 19:28:22,2022-04-02 19:32:00
2022-04-02 19:35:40,2022-04-02 19:35:40
2022-04-02 19:37:30,2022-04-02 19:39:19
2022-04-02 19:44:48,2022-04-02 19:44:48
2022-04-02 19:46:38,2022-04-02 19:46:38
2022-04-02 19:48:29,2022-04-02 19:48:29
2022-04-02 19:50:18,2022-04-02 21:01:38
2022-04-02 21:03:28,2022-04-02 21:19:55
2022-04-02 21:21:44,2022-04-02 21:41:51
2022-04-02 21:43:41,2022-04-02 21:51:00
2022-04-02 21:52:51,2022-04-02 21:54:40
2022-04-02 21:58:19,2022-04-02 22:36:43
2022-04-02 22:38:33,2022-04-02 23:51:42
2022-04-02 23:53:32,2022-04-03 00:06:20
2022-04-03 00:08:11,2022-04-03 00:31:56
2022-04-03 00:33:46,2022-04-03 00:42:54
2022-04-03 00:44:44,2022-04-03 00:52:03
2022-04-03 00:55:42,2022-04-03 00:55:42
2022-04-03 00:59:22,2022-04-03 01:01:11
2022-04-03 01:03:01,2022-04-03 01:12:10
