时间 (time),前兆信号概率
2023-01-18 00:01:05,0.05
2023-01-18 00:02:56,0.05
2023-01-18 00:04:45,0.05
2023-01-18 00:06:35,0.04
2023-01-18 00:08:25,0.04
2023-01-18 00:10:14,0.06
2023-01-18 00:12:05,0.08
2023-01-18 00:13:54,0.09
2023-01-18 00:15:44,0.1
2023-01-18 00:17:33,0.08
2023-01-18 00:19:23,0.09
2023-01-18 00:21:14,0.1
2023-01-18 00:23:02,0.09
2023-01-18 00:24:52,0.1
2023-01-18 00:26:42,0.12
2023-01-18 00:28:32,0.1
2023-01-18 00:30:21,0.09
2023-01-18 00:32:12,0.09
2023-01-18 00:34:01,0.1
2023-01-18 00:35:51,0.03
2023-01-18 00:37:41,0.08
2023-01-18 00:39:30,0.06
2023-01-18 00:41:20,0.08
2023-01-18 00:43:10,0.1
2023-01-18 00:45:01,0.09
2023-01-18 00:46:49,0.08
2023-01-18 00:48:39,0.06
2023-01-18 00:50:29,0.1
2023-01-18 00:52:20,0.09
2023-01-18 00:54:08,0.09
2023-01-18 00:55:58,0.1
2023-01-18 00:57:48,0.05
2023-01-18 00:59:38,0.04
2023-01-18 01:01:28,0.04
2023-01-18 01:03:17,0.23
2023-01-18 01:05:07,0.25
2023-01-18 01:06:57,0.23
2023-01-18 01:08:47,0.22
2023-01-18 01:10:36,0.27
2023-01-18 01:12:26,0.17
2023-01-18 01:14:16,0.15
2023-01-18 01:16:05,0.14
2023-01-18 01:17:55,0.11
2023-01-18 01:19:46,0.12
2023-01-18 01:21:35,0.11
2023-01-18 01:23:25,0.11
2023-01-18 01:25:14,0.16
2023-01-18 01:27:05,0.15
2023-01-18 01:28:55,0.14
2023-01-18 01:30:45,0.12
2023-01-18 01:32:34,0.12
2023-01-18 01:34:23,0.09
2023-01-18 01:36:13,0.08
2023-01-18 01:38:03,0.08
2023-01-18 01:39:55,0.09
2023-01-18 01:41:42,0.07
2023-01-18 01:43:32,0.09
2023-01-18 01:45:22,0.1
2023-01-18 01:47:12,0.24
2023-01-18 01:49:01,0.22
2023-01-18 01:50:51,0.17
2023-01-18 01:52:42,0.14
2023-01-18 01:54:32,0.15
2023-01-18 01:56:21,0.11
2023-01-18 01:58:11,0.11
2023-01-18 02:00:02,0.11
2023-01-18 02:01:50,0.11
2023-01-18 02:03:42,0.11
2023-01-18 02:05:30,0.11
2023-01-18 02:07:20,0.11
2023-01-18 02:09:09,0.11
2023-01-18 02:11:00,0.11
2023-01-18 02:12:49,0.11
2023-01-18 02:14:39,0.09
2023-01-18 02:16:28,0.09
2023-01-18 02:18:19,0.1
2023-01-18 02:20:09,0.11
2023-01-18 02:21:58,0.1
2023-01-18 02:23:48,0.1
2023-01-18 02:25:37,0.1
2023-01-18 02:27:28,0.11
2023-01-18 02:29:17,0.11
2023-01-18 02:31:07,0.11
2023-01-18 02:32:56,0.12
2023-01-18 02:34:47,0.11
2023-01-18 02:36:36,0.11
2023-01-18 02:38:27,0.11
2023-01-18 02:40:15,0.11
2023-01-18 02:42:06,0.11
2023-01-18 02:43:55,0.11
2023-01-18 02:45:45,0.11
2023-01-18 02:47:35,0.11
2023-01-18 02:49:24,0.11
2023-01-18 02:51:14,0.11
2023-01-18 02:53:04,0.11
2023-01-18 02:54:54,0.11
2023-01-18 02:56:44,0.11
2023-01-18 02:58:35,0.11
2023-01-18 03:00:23,0.11
2023-01-18 03:02:13,0.11
2023-01-18 03:04:04,0.11
2023-01-18 03:05:53,0.11
2023-01-18 03:07:43,0.11
2023-01-18 03:09:33,0.11
2023-01-18 03:11:22,0.11
2023-01-18 03:13:14,0.11
2023-01-18 03:15:02,0.11
2023-01-18 03:16:51,0.11
2023-01-18 03:18:42,0.11
2023-01-18 03:20:31,0.11
2023-01-18 03:22:20,0.11
2023-01-18 03:24:10,0.11
2023-01-18 03:26:00,0.11
2023-01-18 03:27:50,0.11
2023-01-18 03:29:39,0.11
2023-01-18 03:31:30,0.11
2023-01-18 03:33:20,0.11
2023-01-18 03:35:09,0.11
2023-01-18 03:37:01,0.11
2023-01-18 03:38:49,0.11
2023-01-18 03:40:38,0.11
2023-01-18 03:42:28,0.07
2023-01-18 03:44:17,0.05
2023-01-18 03:46:07,0.05
2023-01-18 03:47:57,0.02
2023-01-18 03:49:47,0.23
2023-01-18 03:51:38,0.23
2023-01-18 03:53:26,0.23
2023-01-18 03:55:16,0.23
2023-01-18 03:57:07,0.21
2023-01-18 03:58:56,0.17
2023-01-18 04:00:47,0.15
2023-01-18 04:02:35,0.14
2023-01-18 04:04:25,0.11
2023-01-18 04:06:15,0.1
2023-01-18 04:08:04,0.1
2023-01-18 04:09:54,0.1
2023-01-18 04:11:44,0.12
2023-01-18 04:13:34,0.13
2023-01-18 04:15:24,0.13
2023-01-18 04:17:13,0.13
2023-01-18 04:19:04,0.13
2023-01-18 04:20:53,0.13
2023-01-18 04:22:43,0.04
2023-01-18 04:24:34,0.05
2023-01-18 04:26:23,0.06
2023-01-18 04:28:12,0.1
2023-01-18 04:30:02,0.06
2023-01-18 04:31:52,0.09
2023-01-18 04:33:41,0.06
2023-01-18 04:35:32,0.06
2023-01-18 04:37:21,0.07
2023-01-18 04:39:11,0.09
2023-01-18 04:41:02,0.12
2023-01-18 04:42:51,0.06
2023-01-18 04:44:41,0.1
2023-01-18 04:46:31,0.08
2023-01-18 04:48:20,0.09
2023-01-18 04:50:11,0.12
2023-01-18 04:51:59,0.1
2023-01-18 04:53:49,0.11
2023-01-18 04:55:40,0.1
2023-01-18 04:57:29,0.05
2023-01-18 04:59:19,0.07
2023-01-18 05:01:09,0.1
2023-01-18 05:02:59,0.11
2023-01-18 05:04:48,0.03
2023-01-18 05:06:38,0.01
2023-01-18 05:08:28,0.06
2023-01-18 05:10:20,0.06
2023-01-18 05:12:07,0.09
2023-01-18 05:13:58,0.1
2023-01-18 05:15:47,0.1
2023-01-18 05:17:38,0.09
2023-01-18 05:19:27,0.09
2023-01-18 05:21:16,0.1
2023-01-18 05:23:07,0.1
2023-01-18 05:24:56,0.05
2023-01-18 05:26:47,0.06
2023-01-18 05:28:35,0.03
2023-01-18 05:30:26,0.05
2023-01-18 05:32:15,0.02
2023-01-18 05:34:04,0.02
2023-01-18 05:35:54,0.02
2023-01-18 05:37:44,0.03
2023-01-18 05:39:34,0.02
2023-01-18 05:41:24,0.05
2023-01-18 05:43:15,0.05
2023-01-18 05:45:04,0.03
2023-01-18 05:46:53,0.01
2023-01-18 05:48:43,0.03
2023-01-18 05:50:33,0.03
2023-01-18 05:52:23,0.04
2023-01-18 05:54:13,0.03
2023-01-18 05:56:02,0.02
2023-01-18 05:57:52,0.05
2023-01-18 05:59:42,0.03
2023-01-18 06:01:32,0.02
2023-01-18 06:03:21,0.09
2023-01-18 06:05:11,0.06
2023-01-18 06:07:01,0.22
2023-01-18 06:08:50,0.22
2023-01-18 06:10:41,0.22
2023-01-18 06:12:30,0.25
2023-01-18 06:14:22,0.25
2023-01-18 06:16:10,0.23
2023-01-18 06:17:59,0.23
2023-01-18 06:19:49,0.23
2023-01-18 06:21:39,0.17
2023-01-18 06:23:29,0.11
2023-01-18 06:25:19,0.1
2023-01-18 06:27:08,0.1
2023-01-18 06:28:58,0.11
2023-01-18 06:30:48,0.12
2023-01-18 06:32:38,0.22
2023-01-18 06:34:27,0.18
2023-01-18 06:36:17,0.1
2023-01-18 06:38:07,0.1
2023-01-18 06:39:59,0.07
2023-01-18 06:41:48,0.07
2023-01-18 06:43:37,0.06
2023-01-18 06:45:27,0.06
2023-01-18 06:47:17,0.09
2023-01-18 06:49:06,0.08
2023-01-18 06:50:57,0.09
2023-01-18 06:52:46,0.1
2023-01-18 06:54:36,0.07
2023-01-18 06:56:25,0.08
2023-01-18 06:58:16,0.08
2023-01-18 07:00:06,0.09
2023-01-18 07:01:55,0.07
2023-01-18 07:03:45,0.05
2023-01-18 07:05:35,0.07
2023-01-18 07:07:24,0.07
2023-01-18 07:09:14,0.07
2023-01-18 07:11:05,0.06
2023-01-18 07:12:54,0.07
2023-01-18 07:14:43,0.03
2023-01-18 07:16:33,0.08
2023-01-18 07:18:22,0.07
2023-01-18 07:20:13,0.06
2023-01-18 07:22:02,0.08
2023-01-18 07:23:52,0.06
2023-01-18 07:25:43,0.07
2023-01-18 07:27:31,0.07
2023-01-18 07:29:22,0.06
2023-01-18 07:31:12,0.07
2023-01-18 07:33:01,0.06
2023-01-18 07:34:52,0.06
2023-01-18 07:36:40,0.06
2023-01-18 07:38:30,0.05
2023-01-18 07:40:20,0.07
2023-01-18 07:42:09,0.06
2023-01-18 07:43:59,0.06
2023-01-18 07:45:49,0.06
2023-01-18 07:47:39,0.06
2023-01-18 07:49:29,0.06
2023-01-18 07:51:19,0.06
2023-01-18 07:53:09,0.08
2023-01-18 07:54:58,0.1
2023-01-18 07:56:48,0.08
2023-01-18 07:58:40,0.1
2023-01-18 08:00:27,0.09
2023-01-18 08:02:18,0.07
2023-01-18 08:04:08,0.08
2023-01-18 08:05:56,0.1
2023-01-18 08:07:46,0.12
2023-01-18 08:09:36,0.08
2023-01-18 08:11:26,0.09
2023-01-18 08:13:17,0.1
2023-01-18 08:15:07,0.07
2023-01-18 08:16:56,0.08
2023-01-18 08:18:46,0.09
2023-01-18 08:20:37,0.11
2023-01-18 08:22:26,0.07
2023-01-18 08:24:16,0.1
2023-01-18 08:26:06,0.07
2023-01-18 08:27:54,0.09
2023-01-18 08:29:45,0.09
2023-01-18 08:31:36,0.02
2023-01-18 08:33:24,0.06
2023-01-18 08:35:23,0.05
2023-01-18 08:37:07,0.05
2023-01-18 08:38:57,0.01
2023-01-18 08:40:46,0.1
2023-01-18 08:42:36,0.1
2023-01-18 08:44:26,0.12
2023-01-18 08:46:15,0.11
2023-01-18 08:48:06,0.09
2023-01-18 08:49:55,0.1
2023-01-18 08:51:46,0.09
2023-01-18 08:53:35,0.09
2023-01-18 08:55:24,0.07
2023-01-18 08:57:15,0.08
2023-01-18 08:59:13,0.1
2023-01-18 09:01:05,0.19
2023-01-18 09:02:49,0.1
2023-01-18 09:04:38,0.07
2023-01-18 09:06:28,0.08
2023-01-18 09:08:17,0.07
2023-01-18 09:10:08,0.11
2023-01-18 09:11:57,0.08
2023-01-18 09:13:47,0.04
2023-01-18 09:15:37,0.07
2023-01-18 09:17:27,0.06
2023-01-18 09:19:16,0.08
2023-01-18 09:21:07,0.09
2023-01-18 09:22:56,0.07
2023-01-18 09:24:46,0.11
2023-01-18 09:26:37,0.09
2023-01-18 09:28:27,0.09
2023-01-18 09:30:15,0.08
2023-01-18 09:32:14,0.09
2023-01-18 09:33:58,0.19
2023-01-18 09:35:49,0.11
2023-01-18 09:37:38,0.09
2023-01-18 09:39:28,0.08
2023-01-18 09:41:16,0.08
2023-01-18 09:43:06,0.07
2023-01-18 09:44:57,0.1
2023-01-18 09:46:46,0.07
2023-01-18 09:48:35,0.06
2023-01-18 09:50:26,0.03
2023-01-18 09:52:15,0.05
2023-01-18 09:54:06,0.09
2023-01-18 09:55:54,0.05
2023-01-18 09:57:44,0.06
2023-01-18 09:59:35,0.04
2023-01-18 10:01:26,0.06
2023-01-18 10:03:13,0.1
2023-01-18 10:05:03,0.1
2023-01-18 10:06:53,0.07
2023-01-18 10:08:43,0.09
2023-01-18 10:10:34,0.08
2023-01-18 10:12:23,0.05
2023-01-18 10:14:12,0.1
2023-01-18 10:16:03,0.07
2023-01-18 10:17:53,0.05
2023-01-18 10:19:43,0.03
2023-01-18 10:21:33,0.07
2023-01-18 10:23:21,0.08
2023-01-18 10:25:12,0.1
2023-01-18 10:27:01,0.04
2023-01-18 10:28:54,0.05
2023-01-18 10:30:40,0.03
2023-01-18 10:32:30,0.09
2023-01-18 10:34:21,0.08
2023-01-18 10:36:10,0.08
2023-01-18 10:38:00,0.11
2023-01-18 10:39:49,0.04
2023-01-18 10:41:40,0.03
2023-01-18 10:43:29,0.05
2023-01-18 10:45:19,0.08
2023-01-18 10:47:09,0.09
2023-01-18 10:48:59,0.07
2023-01-18 10:50:48,0.1
2023-01-18 10:52:39,0.09
2023-01-18 10:54:28,0.11
2023-01-18 10:56:17,0.1
2023-01-18 10:58:07,0.07
2023-01-18 10:59:57,0.09
2023-01-18 11:01:46,0.03
2023-01-18 11:03:37,0.02
2023-01-18 11:05:26,0.09
2023-01-18 11:07:16,0.08
2023-01-18 11:09:05,0.09
2023-01-18 11:10:56,0.09
2023-01-18 11:12:45,0.08
2023-01-18 11:14:36,0.08
2023-01-18 11:16:24,0.1
2023-01-18 11:18:14,0.07
2023-01-18 11:20:04,0.04
2023-01-18 11:21:54,0.02
2023-01-18 11:23:44,0.06
2023-01-18 11:25:33,0.05
2023-01-18 11:27:24,0.07
2023-01-18 11:29:14,0.07
2023-01-18 11:31:04,0.1
2023-01-18 11:32:54,0.11
2023-01-18 11:34:42,0.08
2023-01-18 11:36:32,0.1
2023-01-18 11:38:23,0.06
2023-01-18 11:40:12,0.09
2023-01-18 11:42:01,0.07
2023-01-18 11:43:51,0.1
2023-01-18 11:45:42,0.03
2023-01-18 11:47:31,0.02
2023-01-18 11:49:22,0.04
2023-01-18 11:51:10,0.06
2023-01-18 11:53:00,0.08
2023-01-18 11:54:51,0.09
2023-01-18 11:56:39,0.13
2023-01-18 11:58:29,0.14
2023-01-18 12:00:19,0.08
2023-01-18 12:02:09,0.13
2023-01-18 12:03:59,0.11
2023-01-18 12:05:49,0.13
2023-01-18 12:07:38,0.1
2023-01-18 12:09:28,0.07
2023-01-18 12:11:18,0.08
2023-01-18 12:13:07,0.09
2023-01-18 12:14:57,0.12
2023-01-18 12:16:47,0.12
2023-01-18 12:18:38,0.21
2023-01-18 12:20:26,0.08
2023-01-18 12:22:16,0.09
2023-01-18 12:24:07,0.08
2023-01-18 12:25:56,0.09
2023-01-18 12:27:46,0.09
2023-01-18 12:29:36,0.08
2023-01-18 12:31:26,0.08
2023-01-18 12:33:16,0.09
2023-01-18 12:35:05,0.09
2023-01-18 12:36:54,0.09
2023-01-18 12:38:44,0.07
2023-01-18 12:40:35,0.1
2023-01-18 12:42:25,0.11
2023-01-18 12:44:13,0.08
2023-01-18 12:46:03,0.09
2023-01-18 12:47:54,0.03
2023-01-18 12:49:43,0.05
2023-01-18 12:51:34,0.04
2023-01-18 12:53:23,0.05
2023-01-18 12:55:13,0.1
2023-01-18 12:57:02,0.1
2023-01-18 12:58:52,0.08
2023-01-18 13:00:42,0.1
2023-01-18 13:02:32,0.11
2023-01-18 13:04:21,0.22
2023-01-18 13:06:12,0.08
2023-01-18 13:08:02,0.1
2023-01-18 13:09:51,0.1
2023-01-18 13:11:40,0.11
2023-01-18 13:13:30,0.09
2023-01-18 13:15:20,0.11
2023-01-18 13:17:09,0.06
2023-01-18 13:18:59,0.08
2023-01-18 13:20:49,0.08
2023-01-18 13:22:40,0.09
2023-01-18 13:24:29,0.11
2023-01-18 13:26:18,0.12
2023-01-18 13:28:09,0.07
2023-01-18 13:29:57,0.11
2023-01-18 13:31:48,0.09
2023-01-18 13:33:38,0.08
2023-01-18 13:35:28,0.09
2023-01-18 13:37:17,0.09
2023-01-18 13:39:07,0.07
2023-01-18 13:40:58,0.09
2023-01-18 13:42:46,0.08
2023-01-18 13:44:36,0.1
2023-01-18 13:46:26,0.09
2023-01-18 13:48:15,0.08
2023-01-18 13:50:05,0.07
2023-01-18 13:51:55,0.1
2023-01-18 13:53:45,0.08
2023-01-18 13:55:34,0.06
2023-01-18 13:57:24,0.08
2023-01-18 13:59:14,0.07
2023-01-18 14:01:05,0.03
2023-01-18 14:02:54,0.03
2023-01-18 14:04:44,0.03
2023-01-18 14:06:33,0.05
2023-01-18 14:08:23,0.08
2023-01-18 14:10:13,0.09
2023-01-18 14:12:02,0.07
2023-01-18 14:13:53,0.06
2023-01-18 14:15:42,0.09
2023-01-18 14:17:32,0.08
2023-01-18 14:19:21,0.05
2023-01-18 14:21:11,0.06
2023-01-18 14:23:01,0.03
2023-01-18 14:24:51,0.04
2023-01-18 14:26:41,0.03
2023-01-18 14:28:31,0.08
2023-01-18 14:30:21,0.05
2023-01-18 14:32:10,0.04
2023-01-18 14:33:59,0.11
2023-01-18 14:35:50,0.07
2023-01-18 14:37:39,0.1
2023-01-18 14:39:29,0.09
2023-01-18 14:41:18,0.11
2023-01-18 14:43:09,0.09
2023-01-18 14:44:58,0.12
2023-01-18 14:46:48,0.02
2023-01-18 14:48:38,0.06
2023-01-18 14:50:28,0.03
2023-01-18 14:52:17,0.06
2023-01-18 14:54:07,0.08
2023-01-18 14:55:57,0.12
2023-01-18 14:57:46,0.11
2023-01-18 14:59:36,0.08
2023-01-18 15:01:26,0.08
2023-01-18 15:03:16,0.09
2023-01-18 15:05:07,0.12
2023-01-18 15:06:56,0.11
2023-01-18 15:08:46,0.08
2023-01-18 15:10:35,0.03
2023-01-18 15:12:27,0.05
2023-01-18 15:14:15,0.04
2023-01-18 15:16:06,0.07
2023-01-18 15:17:55,0.09
2023-01-18 15:19:44,0.09
2023-01-18 15:21:35,0.09
2023-01-18 15:23:24,0.1
2023-01-18 15:25:14,0.08
2023-01-18 15:27:04,0.09
2023-01-18 15:28:54,0.11
2023-01-18 15:30:43,0.11
2023-01-18 15:32:33,0.09
2023-01-18 15:34:23,0.11
2023-01-18 15:36:12,0.1
2023-01-18 15:38:02,0.1
2023-01-18 15:39:52,0.1
2023-01-18 15:41:42,0.1
2023-01-18 15:43:33,0.09
2023-01-18 15:45:21,0.1
2023-01-18 15:47:11,0.08
2023-01-18 15:49:01,0.11
2023-01-18 15:50:51,0.1
2023-01-18 15:52:41,0.04
2023-01-18 15:54:31,0.01
2023-01-18 15:56:20,0.04
2023-01-18 15:58:11,0.07
2023-01-18 16:00:00,0.08
2023-01-18 16:01:50,0.1
2023-01-18 16:03:40,0.05
2023-01-18 16:05:29,0.04
2023-01-18 16:07:19,0.07
2023-01-18 16:09:09,0.1
2023-01-18 16:10:58,0.06
2023-01-18 16:12:48,0.05
2023-01-18 16:14:38,0.04
2023-01-18 16:16:28,0.02
2023-01-18 16:18:18,0.02
2023-01-18 16:20:07,0.04
2023-01-18 16:21:57,0.06
2023-01-18 16:23:47,0.1
2023-01-18 16:25:37,0.09
2023-01-18 16:27:26,0.09
2023-01-18 16:29:16,0.06
2023-01-18 16:31:06,0.04
2023-01-18 16:32:57,0.07
2023-01-18 16:34:46,0.1
2023-01-18 16:36:36,0.1
2023-01-18 16:38:26,0.06
2023-01-18 16:40:15,0.05
2023-01-18 16:42:05,0.08
2023-01-18 16:43:56,0.07
2023-01-18 16:45:46,0.02
2023-01-18 16:47:34,0.01
2023-01-18 16:49:24,0.04
2023-01-18 16:51:15,0.1
2023-01-18 16:53:04,0.07
2023-01-18 16:54:53,0.09
2023-01-18 16:56:43,0.04
2023-01-18 16:58:33,0.01
2023-01-18 17:00:23,0.04
2023-01-18 17:02:13,0.04
2023-01-18 17:04:03,0.06
2023-01-18 17:05:52,0.06
2023-01-18 17:07:42,0.03
2023-01-18 17:09:32,0.05
2023-01-18 17:11:23,0.06
2023-01-18 17:13:12,0.08
2023-01-18 17:15:01,0.05
2023-01-18 17:16:51,0.08
2023-01-18 17:18:41,0.05
2023-01-18 17:20:30,0.06
2023-01-18 17:22:20,0.03
2023-01-18 17:24:11,0.04
2023-01-18 17:26:00,0.04
2023-01-18 17:27:50,0.04
2023-01-18 17:29:39,0.07
2023-01-18 17:31:30,0.1
2023-01-18 17:33:19,0.09
2023-01-18 17:35:09,0.06
2023-01-18 17:36:58,0.07
2023-01-18 17:38:48,0.07
2023-01-18 17:40:38,0.08
2023-01-18 17:42:28,0.05
2023-01-18 17:44:18,0.07
2023-01-18 17:46:07,0.05
2023-01-18 17:47:57,0.06
2023-01-18 17:49:47,0.07
2023-01-18 17:51:38,0.1
2023-01-18 17:53:27,0.11
2023-01-18 17:55:16,0.08
2023-01-18 17:57:06,0.11
2023-01-18 17:58:56,0.1
2023-01-18 18:00:46,0.06
2023-01-18 18:02:35,0.09
2023-01-18 18:04:25,0.04
2023-01-18 18:06:16,0.03
2023-01-18 18:08:06,0.09
2023-01-18 18:09:56,0.06
2023-01-18 18:11:44,0.08
2023-01-18 18:13:34,0.1
2023-01-18 18:15:24,0.09
2023-01-18 18:17:14,0.07
2023-01-18 18:19:04,0.09
2023-01-18 18:20:54,0.1
2023-01-18 18:22:44,0.08
2023-01-18 18:24:33,0.06
2023-01-18 18:26:23,0.07
2023-01-18 18:28:13,0.08
2023-01-18 18:30:02,0.1
2023-01-18 18:31:53,0.1
2023-01-18 18:33:43,0.09
2023-01-18 18:35:32,0.07
2023-01-18 18:37:22,0.08
2023-01-18 18:39:11,0.1
2023-01-18 18:41:01,0.1
2023-01-18 18:42:51,0.08
2023-01-18 18:44:42,0.08
2023-01-18 18:46:32,0.04
2023-01-18 18:48:20,0.04
2023-01-18 18:50:10,0.01
2023-01-18 18:52:00,0.05
2023-01-18 18:53:49,0.04
2023-01-18 18:55:39,0.06
2023-01-18 18:57:29,0.09
2023-01-18 18:59:19,0.1
2023-01-18 19:01:09,0.1
2023-01-18 19:02:58,0.12
2023-01-18 19:04:48,0.08
2023-01-18 19:06:38,0.09
2023-01-18 19:08:28,0.11
2023-01-18 19:10:17,0.1
2023-01-18 19:12:08,0.08
2023-01-18 19:13:57,0.03
2023-01-18 19:15:47,0.04
2023-01-18 19:17:37,0.05
2023-01-18 19:19:26,0.1
2023-01-18 19:21:16,0.09
2023-01-18 19:23:07,0.1
2023-01-18 19:24:56,0.08
2023-01-18 19:26:47,0.11
2023-01-18 19:28:37,0.21
2023-01-18 19:30:25,0.12
2023-01-18 19:32:15,0.02
